i	lep_n	lep_etot	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	jet_DH_n	jet_DH_pt_0	jet_DH_pt_1	jet_DH_pt_2	jet_DH_pt_3	jet_DH_theta_0	jet_DH_theta_1	jet_DH_theta_2	jet_DH_theta_3	jet_DH_phi_0	jet_DH_phi_1	jet_DH_phi_2	jet_DH_phi_3	jet_DH_e_0	jet_DH_e_1	jet_DH_e_2	jet_DH_e_3	jet_KT_R05_n	jet_KT_R05_pt_0	jet_KT_R05_pt_1	jet_KT_R05_pt_2	jet_KT_R05_pt_3	jet_KT_R05_theta_0	jet_KT_R05_theta_1	jet_KT_R05_theta_2	jet_KT_R05_theta_3	jet_KT_R05_phi_0	jet_KT_R05_phi_1	jet_KT_R05_phi_2	jet_KT_R05_phi_3	jet_KT_R05_e_0	jet_KT_R05_e_1	jet_KT_R05_e_2	jet_KT_R05_e_3	jet_KT_R07_n	jet_KT_R07_pt_0	jet_KT_R07_pt_1	jet_KT_R07_pt_2	jet_KT_R07_pt_3	jet_KT_R07_theta_0	jet_KT_R07_theta_1	jet_KT_R07_theta_2	jet_KT_R07_theta_3	jet_KT_R07_phi_0	jet_KT_R07_phi_1	jet_KT_R07_phi_2	jet_KT_R07_phi_3	jet_KT_R07_e_0	jet_KT_R07_e_1	jet_KT_R07_e_2	jet_KT_R07_e_3	
0	1.0	8.228	6.854	-	-	-	-	0.985	-	-	-	-	-1.411	-	-	-	-	8.228	-	-	-	-	4.0	8.938	43.4	18.834	15.143	2.817	2.611	0.447	0.551	-1.907	0.587	-2.255	0.932	31.649	93.829	51.44	33.417	4.0	4.278	5.008	6.023	30.655	2.77	0.626	0.809	2.584	0.77	-1.228	0.617	0.46	11.828	8.709	8.667	58.064	4.0	6.763	8.743	9.979	36.826	0.435	0.743	0.626	2.613	-3.072	0.58	-1.514	0.458	16.553	13.871	17.842	73.882	
1	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	18.686	39.491	223.988	205.333	0.129	0.751	2.668	2.504	2.049	-0.665	-1.543	1.642	157.434	70.919	495.875	353.526	4.0	9.663	24.003	196.285	213.975	0.126	1.122	2.467	2.65	2.424	-0.174	1.622	-1.55	76.714	27.291	314.554	453.757	4.0	14.521	28.949	197.28	213.975	0.475	1.111	2.466	2.65	-1.321	-0.199	1.621	-1.55	32.349	34.376	315.829	453.757	
2	1.0	590.616	253.112	-	-	-	-	2.699	-	-	-	-	2.376	-	-	-	-	590.616	-	-	-	-	4.0	12.505	12.74	275.261	52.595	2.811	2.794	0.611	0.255	2.966	0.032	-0.767	-0.756	42.626	42.989	481.101	231.56	4.0	4.807	5.564	58.412	268.742	1.21	0.972	0.376	0.606	-2.253	1.489	-0.786	-0.76	5.42	7.135	159.104	472.172	4.0	6.626	8.891	58.412	273.648	0.564	0.839	0.376	0.602	0.528	1.732	-0.786	-0.772	12.734	12.95	159.104	484.097	
3	2.0	152.209	123.167	9.291	-	-	-	1.06	1.005	-	-	-	2.681	-1.207	-	-	-	141.202	11.007	-	-	-	4.0	11.625	32.413	96.497	5.262	0.817	0.886	0.667	2.885	-2.297	-1.275	-0.004	1.331	18.098	43.351	162.678	29.247	4.0	17.684	77.794	9.799	26.308	0.694	0.702	1.064	0.824	-0.287	-0.038	-0.967	-1.455	27.79	121.224	11.644	36.434	4.0	17.684	80.388	9.799	26.308	0.694	0.694	1.064	0.824	-0.287	-0.013	-0.967	-1.455	27.79	126.902	11.644	36.434	
4	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	16.02	9.744	92.918	69.105	0.69	0.472	2.208	2.8	0.184	-2.759	-2.43	-2.099	31.88	25.424	116.413	221.672	4.0	28.598	43.563	15.705	77.454	2.713	2.674	2.045	2.234	-2.115	-2.037	-2.249	-2.461	68.824	96.722	17.745	98.412	4.0	6.148	15.705	78.252	72.109	1.416	2.045	2.238	2.69	-0.337	-2.249	-2.465	-2.068	6.63	17.745	99.854	165.546	
5	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	8.471	47.644	27.2	15.968	2.488	2.158	0.567	0.348	2.771	-0.892	2.77	-1.105	17.637	63.013	55.89	57.316	4.0	4.73	7.268	18.019	42.649	1.008	0.631	0.728	2.058	-2.21	-1.943	3.088	-1.033	5.83	12.474	27.369	48.738	4.0	7.268	7.544	18.019	43.296	0.631	0.479	0.728	2.069	-1.943	-1.318	3.088	-1.044	12.474	16.715	27.369	50.101	
6	1.0	7.508	7.492	-	-	-	-	1.633	-	-	-	-	-2.45	-	-	-	-	7.508	-	-	-	-	4.0	11.959	39.332	70.334	13.067	2.798	2.177	1.129	0.102	0.838	-2.216	-1.175	1.492	41.62	55.406	79.129	142.669	4.0	7.423	11.245	17.999	70.334	0.101	1.725	2.067	1.129	1.02	-2.458	-2.398	-1.175	73.754	11.569	21.027	79.129	4.0	8.314	8.616	30.207	70.334	2.311	0.644	1.971	1.129	-1.799	0.482	-2.446	-1.175	11.569	15.047	34.431	79.129	
7	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	14.688	75.67	56.801	37.478	0.78	0.118	2.917	3.019	0.086	-2.811	1.096	-0.598	26.575	652.134	256.491	312.758	4.0	23.386	13.05	53.688	65.609	3.014	2.986	2.925	0.108	-0.292	-0.562	1.065	-2.83	183.658	84.448	250.069	610.85	4.0	7.145	37.682	53.688	65.609	1.39	3.009	2.925	0.108	-0.257	-0.432	1.065	-2.83	7.813	285.219	250.069	610.85	
8	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	6.363	8.458	37.036	97.72	2.453	2.945	0.223	0.189	-1.223	2.217	0.635	-0.932	13.55	49.552	172.023	523.729	4.0	29.105	32.26	32.668	30.326	0.185	0.2	0.174	0.205	-0.802	-0.886	-1.021	0.424	158.401	162.811	189.316	148.82	4.0	5.081	32.668	61.31	30.326	2.277	0.174	0.192	0.205	2.842	-1.021	-0.846	0.424	7.236	189.316	321.212	148.82	
9	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	12.273	175.87	8.756	17.362	2.027	2.737	0.525	1.152	2.992	-1.693	-2.775	0.433	14.995	452.312	21.715	28.052	4.0	7.747	7.913	20.925	148.88	1.976	1.263	2.707	2.739	-3.031	-0.384	-1.537	-1.725	8.687	8.882	49.82	380.469	4.0	20.925	148.88	8.553	12.495	2.707	2.739	1.228	2.046	-1.537	-1.725	-0.369	2.978	49.82	380.469	9.734	15.505	
